Task,Shots,Accuracy,F1,BLEU,File
afrihate_som,0,0.7624,N/A,N/A,som_afrihate_0shot_final_2026-01-29T17-29-22.606767.json
afrihate_som,5,1.0,N/A,N/A,som_afrihate_5shot_final_2026-01-29T17-31-30.336629.json
afrihate_swa,0,0.9978,N/A,N/A,sw_afrihate_0shot_final_2026-01-29T04-50-08.276940.json
afrihate_swa,0,0.9978,N/A,N/A,sw_afrihate_0shot_final_2026-01-29T12-37-35.981928.json
afrihate_swa,5,1.0,N/A,N/A,sw_afrihate_5shot_final_2026-01-29T04-55-31.315397.json
afrihate_swa,5,1.0,N/A,N/A,sw_afrihate_5shot_final_2026-01-29T12-42-53.207581.json
afrimgsm_swa_prompt_1,0,N/A,N/A,N/A,sw_mgsm_direct_0shot_2026-01-26T14-39-33.247121.json
afrimgsm_swa_prompt_1,5,N/A,N/A,N/A,sw_mgsm_direct_5shot_2026-01-26T14-58-04.440370.json
afrimmlu_direct_swa_prompt_1,0,0.226,0.2179,N/A,sw_afrimmlu_0shot_2026-01-26T15-03-11.465269.json
afrimmlu_direct_swa_prompt_1,5,0.266,0.2661,N/A,sw_afrimmlu_5shot_2026-01-26T15-09-37.594428.json
afrisenti_swa_prompt_1,0,0.2995,0.138,N/A,afrisenti_swa_prompt_1_0shot_2026-01-15T13-13-26.035414.json
afrisenti_swa_prompt_1,5,0.4251,0.4282,N/A,afrisenti_swa_prompt_1_5shot_2026-01-15T13-16-16.787849.json
afrisenti_swa_prompt_2,0,0.2995,0.138,N/A,afrisenti_swa_prompt_2_0shot_2026-01-15T13-17-39.877915.json
afrisenti_swa_prompt_2,5,0.4532,0.4544,N/A,afrisenti_swa_prompt_2_5shot_2026-01-15T13-20-36.883286.json
afrisenti_swa_prompt_3,0,0.3663,0.3788,N/A,afrisenti_swa_prompt_3_0shot_2026-01-15T13-22-08.557638.json
afrisenti_swa_prompt_3,5,0.4826,0.4787,N/A,afrisenti_swa_prompt_3_5shot_2026-01-15T13-26-01.560203.json
afrisenti_swa_prompt_4,0,0.5709,0.4556,N/A,afrisenti_swa_prompt_4_0shot_2026-01-15T13-27-26.360397.json
afrisenti_swa_prompt_4,5,0.5829,0.4571,N/A,afrisenti_swa_prompt_4_5shot_2026-01-15T13-30-41.586282.json
afrisenti_swa_prompt_5,0,0.3209,0.1961,N/A,afrisenti_swa_prompt_5_0shot_2026-01-15T13-32-40.029562.json
afrisenti_swa_prompt_5,5,0.4947,0.4691,N/A,afrisenti_sw_5_5shot_2026-01-15T14-26-37.660309.json
afrixnli_swa_prompt_1,0,0.3333,0.1667,N/A,sw_afrixnli_0shot_2026-01-26T15-12-50.111078.json
afrixnli_swa_prompt_1,5,0.325,0.2988,N/A,sw_afrixnli_5shot_2026-01-26T15-15-48.974894.json
belebele_luo_prompt_1,0,0.2289,N/A,N/A,luo_bele_0shot_2026-01-26T15-20-20.506546.json
belebele_luo_prompt_1,5,0.2911,N/A,N/A,luo_bele_5shot_2026-01-27T14-18-33.869841.json
belebele_luo_prompt_1,5,0.2911,N/A,N/A,luo_bele_5shot_2026-01-26T15-37-38.112326.json
flores_eng_Latn-swh_Latn_prompt_1,5,N/A,N/A,0.7116309115482515,sw_translation_flores_2026-01-27T16-24-23.205954.json
global_mmlu_sw,N/A,0.255,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw,N/A,0.255,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_business,0,0.2759,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_business,0,0.2759,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_humanities,0,0.2451,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_humanities,0,0.2451,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_medical,0,0.2222,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_medical,0,0.2222,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_other,0,0.25,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_other,0,0.25,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_social_sciences,0,0.2647,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_social_sciences,0,0.2647,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
global_mmlu_sw_stem,0,0.2609,N/A,N/A,sw_mmlu_0shot_2026-01-26T15-00-37.633186.json
global_mmlu_sw_stem,0,0.2609,N/A,N/A,sw_global_mmlu_0shot_2026-01-26T15-10-39.368719.json
